PK,국가코드,날짜,일일 확진자,누적 확진자,일일 사망자,누적 사망자,일일 완치자,누적 완치자,사망률,완치율,인구수,발생률,사이트
1,ABW,2020-03-13,2,2,0,0,,,0,,106766,18.73255531,ourworldindata.org
166,ABW,2020-03-19,,,,,,,0,,106766,0,ourworldindata.org
165,ABW,2020-03-20,2,4,0,0,,,0,,106766,37.46511062,ourworldindata.org
164,ABW,2020-03-21,,,,,,,0,,106766,0,ourworldindata.org
163,ABW,2020-03-22,,,,,,,0,,106766,0,ourworldindata.org
162,ABW,2020-03-23,,,,,,,0,,106766,0,ourworldindata.org
161,ABW,2020-03-24,8,12,0,0,,,0,,106766,112.3953318,ourworldindata.org
160,ABW,2020-03-25,5,17,0,0,,,0,,106766,159.2267201,ourworldindata.org
159,ABW,2020-03-26,2,19,0,0,,,0,,106766,177.9592754,ourworldindata.org
158,ABW,2020-03-27,9,28,0,0,,,0,,106766,262.2557743,ourworldindata.org
157,ABW,2020-03-28,0,28,0,0,,,0,,106766,262.2557743,ourworldindata.org
156,ABW,2020-03-29,0,28,0,0,,,0,,106766,262.2557743,ourworldindata.org
155,ABW,2020-03-30,22,50,0,0,,,0,,106766,468.3138827,ourworldindata.org
154,ABW,2020-03-31,,,,,,,0,,106766,0,ourworldindata.org
153,ABW,2020-04-01,5,55,0,0,,,0,,106766,515.145271,ourworldindata.org
152,ABW,2020-04-02,0,55,0,0,,,0,,106766,515.145271,ourworldindata.org
151,ABW,2020-04-03,5,60,0,0,,,0,,106766,561.9766592,ourworldindata.org
150,ABW,2020-04-04,2,62,0,0,,,0,,106766,580.7092145,ourworldindata.org
149,ABW,2020-04-05,2,64,0,0,,,0,,106766,599.4417699,ourworldindata.org
148,ABW,2020-04-06,0,64,0,0,,,0,,106766,599.4417699,ourworldindata.org
147,ABW,2020-04-07,7,71,0,0,,,0,,106766,665.0057134,ourworldindata.org
146,ABW,2020-04-08,3,74,0,0,,,0,,106766,693.1045464,ourworldindata.org
